Country,Type,Disaster_Count,Deaths
Namibia,Flood,15,264
Nepal,Drought,6,0
Nepal,Earthquake,7,9865
Nepal,Epidemic,20,4568
Nepal,Extreme temperature,8,267
Nepal,Flood,51,7700
Nepal,Landslide,25,1894
Nepal,Mass movement (dry),1,150
Nepal,Storm,8,208
Nepal,Wildfire,3,99
Netherlands,Earthquake,1,0
Netherlands,Epidemic,1,13
Netherlands,Extreme temperature,8,2766
Netherlands,Flood,4,2001
Netherlands,Storm,25,39
Netherlands (the),Storm,4,13
New Caledonia,Epidemic,1,0
New Caledonia,Storm,16,20
New Zealand,Drought,2,0
New Zealand,Earthquake,10,461
New Zealand,Epidemic,2,6700
New Zealand,Extreme temperature,1,0
New Zealand,Flood,41,32
New Zealand,Landslide,1,0
New Zealand,Storm,13,65
New Zealand,Volcanic activity,3,171
New Zealand,Wildfire,2,0
Nicaragua,Drought,6,0
Nicaragua,Earthquake,10,12688
Nicaragua,Epidemic,13,122
Nicaragua,Flood,23,515
Nicaragua,Landslide,1,29
Nicaragua,Storm,24,3955
Nicaragua,Volcanic activity,5,1
Nicaragua,Wildfire,3,0
Niger,Animal accident,1,12
Niger,Drought,16,85000
Niger,Epidemic,44,110066
Niger,Flood,31,639
Niger,Insect infestation,6,0
Niger,Storm,1,4
Nigeria,Drought,1,0
Nigeria,Epidemic,66,26508
Nigeria,Extreme temperature,2,78
Nigeria,Flood,54,2027
Nigeria,Insect infestation,2,0
Nigeria,Landslide,3,32
Nigeria,Storm,6,254
Niue,Epidemic,1,1
Niue,Storm,5,1
Northern Mariana Islands (the),Storm,4,5
Northern Mariana Islands (the),Volcanic activity,1,0
Norway,Flood,3,1
Norway,Landslide,3,84
Norway,Storm,7,4
Oman,Flood,4,14
Oman,Storm,11,282
Pakistan,Drought,2,220
Pakistan,Earthquake,35,144116
Pakistan,Epidemic,12,403
Pakistan,Extreme temperature,18,2954
Pakistan,Flood,106,18105
Pakistan,Insect infestation,2,0
Pakistan,Landslide,23,805
Pakistan,Mass movement (dry),2,63
Pakistan,Storm,29,12141
Palau,Epidemic,1,0
Palau,Storm,2,0
"Palestine, State of",Epidemic,1,0
"Palestine, State of",Extreme temperature,1,3
"Palestine, State of",Flood,4,5
"Palestine, State of",Storm,3,5
Panama,Drought,4,0
Panama,Earthquake,4,32
Panama,Epidemic,5,101
Panama,Flood,38,218
Panama,Storm,8,143
Panama,Wildfire,1,0
Papua New Guinea,Drought,3,84
Papua New Guinea,Earthquake,18,5450
Papua New Guinea,Epidemic,7,448
Papua New Guinea,Flood,19,86
Papua New Guinea,Landslide,14,527
Papua New Guinea,Mass movement (dry),2,86
Papua New Guinea,Storm,7,219
Papua New Guinea,Volcanic activity,17,3515
Papua New Guinea,Wildfire,1,0
Paraguay,Drought,9,16
Paraguay,Epidemic,9,97
Paraguay,Extreme temperature,3,20
Paraguay,Flood,28,199
Paraguay,Storm,8,40
Paraguay,Wildfire,2,8
Peru,Drought,8,0
Peru,Earthquake,52,70788
Peru,Epidemic,14,10739
Peru,Extreme temperature,12,2020
Peru,Flood,61,2243
Peru,Insect infestation,1,0
Peru,Landslide,34,8564
Peru,Mass movement (dry),2,2000
Peru,Storm,4,653
Peru,Volcanic activity,4,0
Peru,Wildfire,2,0
Philippines,Drought,10,8
Philippines,Earthquake,40,9927
